for_name,loc_name,area,P_desp_MW,Pmin_MW,Pmax_MW,num_unidades,sgn_MVA,tiene_gobernador,gov_modelo,estatismo_droop,droop_param,margen_subida_MW,station_controller,ref_slack,outserv
G4PALAM3,Palamara Grupo 3,CENTRAL,1.8279000520706177,0.0,10.766400337219238,4,13.458000183105469,1,gov_DEGOV1,0.056,Droop,8.939,,0,0
G4PALAM2,Palamara Grupo 2,CENTRAL,10.766400337219238,0.0,10.766400337219238,2,13.458000183105469,1,gov_DEGOV1,0.06,Droop,0.0,,0,0
G4PALAM1,Palamara Grupo 1,CENTRAL,10.766400337219238,0.0,10.766400337219238,4,13.458000183105469,1,gov_DEGOV1,0.0593,Droop,0.0,,0,0
G4IKM22,INCA km 22 Grupo 1,CENTRAL,4.331200122833252,0.0,4.331200122833252,2,5.414000034332275,1,gov_DEGOV1,0.0581,Droop,0.0,,0,0
G5IKM22,INCA km 22 Grupo 2,CENTRAL,5.737599849700928,0.0,6.079999923706055,1,7.605000019073486,1,gov_DEGOV1,0.0581,Droop,0.342,,0,0
G5EMA3G1,EDM3 TG1,CENTRAL,48.0,0.0,50.959999084472656,1,63.70000076293945,1,gov_IEEE_GGOV1,0.05,R,2.96,69 kV Nodo Piloto Timbeque 2,0,0
G5EMA3G2,EDM3 TG2,CENTRAL,48.0,0.0,50.959999084472656,1,63.70000076293945,1,gov_IEEE_GGOV1,0.05,R,2.96,69 kV Nodo Piloto Timbeque 2,0,0
G5EMAR3V,EDM3 TV,CENTRAL,48.0,0.0,48.327999114990234,1,60.40999984741211,1,gov_IEEE_TGOV1,0.05,R,0.328,69 kV Nodo Piloto Timbeque 2,0,0
G4Q1SPED,Quisqueya 1 San Pedro,ESTE,16.487499237060547,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.044,r,0.589,,0,0
G4QUIS12,Quisqueya 1 Grupo 2,ESTE,17.076000213623047,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.044,r,0.0,230 kV Nodo Piloto Bonao 3,0,0
G4QUIS21,Quisqueya 2 Grupo 1,ESTE,17.076000213623047,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.04,r,0.0,230 kV Nodo Piloto Bonao 3,0,0
G4QUIS22,Quisqueya 2 Grupo 2,ESTE,17.076000213623047,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.04,r,0.0,230 kV Nodo Piloto Bonao 3,0,0
G4QUIS23,Quisqueya 2 Grupo 3,ESTE,11.267999649047852,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.04,r,5.808,230 kV Nodo Piloto Bonao 3,0,0
G5QUISQ2,Quisqueya 2 TV,ESTE,1.000000013351432e-10,0.0,20.330400466918945,1,25.413000106811523,0,,,,20.33,230 kV Nodo Piloto Bonao 3,0,1
G4QUIS13,Quisqueya 1 Grupo 3,ESTE,17.076000213623047,0.0,17.076000213623047,4,21.344999313354492,1,gov_GGOV1,0.044,r,0.0,230 kV Nodo Piloto Bonao 3,0,0
G5QUISQ1,Quisqueya 1 TV,ESTE,8.892000198364258,0.0,20.330400466918945,1,25.413000106811523,0,,,,11.438,230 kV Nodo Piloto Bonao 3,0,0
G3PCATA1,Punta Catalina 1,SUR,339.989990234375,0.0,375.0,1,460.0,1,gov_IEEEG1,,,35.01,345 kV Nodo Piloto Julio Sauri,1,0
G3PCATA2,Punta Catalina 2,SUR,359.989990234375,0.0,375.0,1,460.0,1,gov_IEEEG1,,,15.01,345 kV Nodo Piloto Julio Sauri,0,0
