maquina_for_name,maquina_loc_name,gov_modelo,gov_dsl,param,valor
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,K,8.0
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T4,1.0
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T5,0.1
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T6,0.2
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,TD,0.01
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,Droop,0.056
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,TE,0.5
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T1,0.2
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T2,0.3
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,T3,0.5
G4PALAM3,Palamara Grupo 3,gov_DEGOV1,gov_Palamara 3,Droop_Control,1.0
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,K,8.0
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T4,1.0
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T5,0.1
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T6,0.2
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,TD,0.01
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,Droop,0.06
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,TE,0.5
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T1,0.2
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T2,0.3
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,T3,0.5
G4PALAM2,Palamara Grupo 2,gov_DEGOV1,gov_Palamara 2,Droop_Control,1.0
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,K,8.0
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,T4,1.0
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,T5,0.1
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,T6,0.2
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,TD,0.01
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,Droop,0.0593
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,TE,0.5
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,T1,0.2
G4PALAM1,Palamara Grupo 1,gov_DEGOV1,gov_Palamara 1,T2,0.3
