for_name,loc_name,P_nominal_MW,sgn_MVA,iturbo,num_unidades,outserv,modelos,gov_HYGOV_MONCION2.r,gov_HYGOV_MONCION2.Tr,gov_HYGOV_MONCION2.Tf,gov_HYGOV_MONCION2.Tg,gov_HYGOV_MONCION2.Tw,gov_HYGOV_MONCION2.At,gov_HYGOV_MONCION2.Pturb,gov_HYGOV_MONCION2.Dturb,gov_HYGOV_MONCION2.qnl,gov_HYGOV_MONCION2.R,gov_HYGOV_MONCION1.r,gov_HYGOV_MONCION1.Tr,gov_HYGOV_MONCION1.Tf,gov_HYGOV_MONCION1.Tg,gov_HYGOV_MONCION1.Tw,gov_HYGOV_MONCION1.At,gov_HYGOV_MONCION1.Pturb,gov_HYGOV_MONCION1.Dturb,gov_HYGOV_MONCION1.qnl,gov_HYGOV_MONCION1.R,gov_HYGOV.r,gov_HYGOV.Tr,gov_HYGOV.Tf,gov_HYGOV.Tg,gov_HYGOV.Tw,gov_HYGOV.At,gov_HYGOV.Pturb,gov_HYGOV.Dturb,gov_HYGOV.qnl,gov_HYGOV.R,gov_HYGOV_TAVERA2.r,gov_HYGOV_TAVERA2.Tr,gov_HYGOV_TAVERA2.Tf,gov_HYGOV_TAVERA2.Tg,gov_HYGOV_TAVERA2.Tw,gov_HYGOV_TAVERA2.At,gov_HYGOV_TAVERA2.Pturb,gov_HYGOV_TAVERA2.Dturb,gov_HYGOV_TAVERA2.qnl,gov_HYGOV_TAVERA2.R,gov_HYGOV_TAVERA1.r,gov_HYGOV_TAVERA1.Tr,gov_HYGOV_TAVERA1.Tf,gov_HYGOV_TAVERA1.Tg,gov_HYGOV_TAVERA1.Tw,gov_HYGOV_TAVERA1.At,gov_HYGOV_TAVERA1.Pturb,gov_HYGOV_TAVERA1.Dturb,gov_HYGOV_TAVERA1.qnl,gov_HYGOV_TAVERA1.R,gov_HYGOV_LTOROS1.r,gov_HYGOV_LTOROS1.Tr,gov_HYGOV_LTOROS1.Tf,gov_HYGOV_LTOROS1.Tg,gov_HYGOV_LTOROS1.Tw,gov_HYGOV_LTOROS1.At,gov_HYGOV_LTOROS1.Pturb,gov_HYGOV_LTOROS1.Dturb,gov_HYGOV_LTOROS1.qnl,gov_HYGOV_LTOROS1.R,gov_HYGOV_LTOROS2.r,gov_HYGOV_LTOROS2.Tr,gov_HYGOV_LTOROS2.Tf,gov_HYGOV_LTOROS2.Tg,gov_HYGOV_LTOROS2.Tw,gov_HYGOV_LTOROS2.At,gov_HYGOV_LTOROS2.Pturb,gov_HYGOV_LTOROS2.Dturb,gov_HYGOV_LTOROS2.qnl,gov_HYGOV_LTOROS2.R,gov_HYGOV_LDAMAS.r,gov_HYGOV_LDAMAS.Tr,gov_HYGOV_LDAMAS.Tf,gov_HYGOV_LDAMAS.Tg,gov_HYGOV_LDAMAS.Tw,gov_HYGOV_LDAMAS.At,gov_HYGOV_LDAMAS.Pturb,gov_HYGOV_LDAMAS.Dturb,gov_HYGOV_LDAMAS.qnl,gov_HYGOV_LDAMAS.R,gov_HYGOV_JIGUEY1.r,gov_HYGOV_JIGUEY1.Tr,gov_HYGOV_JIGUEY1.Tf,gov_HYGOV_JIGUEY1.Tg,gov_HYGOV_JIGUEY1.Tw,gov_HYGOV_JIGUEY1.At,gov_HYGOV_JIGUEY1.Pturb,gov_HYGOV_JIGUEY1.Dturb,gov_HYGOV_JIGUEY1.qnl,gov_HYGOV_JIGUEY1.R,gov_HYGOV_JIGUEY2.r,gov_HYGOV_JIGUEY2.Tr,gov_HYGOV_JIGUEY2.Tf,gov_HYGOV_JIGUEY2.Tg,gov_HYGOV_JIGUEY2.Tw,gov_HYGOV_JIGUEY2.At,gov_HYGOV_JIGUEY2.Pturb,gov_HYGOV_JIGUEY2.Dturb,gov_HYGOV_JIGUEY2.qnl,gov_HYGOV_JIGUEY2.R,pmu_TrWHydroFrancis.Tl,pmu_TrWHydroFrancis.Zw,pmu_TrWHydroFrancis.Rs,pmu_TrWHydroFrancis.Rd,pmu_TrWHydroFrancis.Rd0,pmu_TrWHydroFrancis.h0,pmu_TrWHydroFrancis.pt0
G3MONCI2,Monción 2,26.0,30.0,0,1,0,gov_HYGOV_MONCION2,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3MONCI1,Monción 1,26.0,30.0,0,1,0,gov_HYGOV_MONCION1,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3LANGOS,López Angostura,18.399999618530273,23.0,0,1,0,gov_HYGOV,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3TAVER2,Tavera 2,48.0,60.0,0,1,0,gov_HYGOV_TAVERA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3TAVER1,Tavera 1,48.0,60.0,0,1,1,gov_HYGOV_TAVERA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3LTORO1,Los Toros 1,4.724999904632568,5.25,0,1,1,gov_HYGOV_LTOROS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3LTORO2,Los Toros 2,4.724999904632568,5.25,0,1,1,gov_HYGOV_LTOROS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3SYEGUA,Sabana Yegua,12.800000190734863,16.0,0,1,1,gov_HYGOV,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.0293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3SABANE,Sabaneta,6.360000133514404,7.949999809265137,0,1,1,gov_HYGOV,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3LDAMAS,Las Damas,7.49970006942749,8.333000183105469,0,1,0,gov_HYGOV_LDAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3VALDE2,Valdesia 2,25.5,30.0,0,1,1,gov_HYGOV,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.0534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3VALDE1,Valdesia 1,25.5,30.0,0,1,1,gov_HYGOV,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.0494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G3JIGUE2,Jigüey 2,49.0,61.25,0,1,0,gov_HYGOV_JIGUEY1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,10.0,0.05,0.3,0.51,1.15,0.0,0.01,0.08,0.035,,,,,,,,,,,,,,,,,
