relay_for_name,relay_root,relay_ruta,subrelay,etapa,f_arranque_hz,dfdt_hz_s,retardo_s,etapa_outserv,subrelay_outserv,relay_outserv,activa_efectiva,terminal,terminal_for_name,terminal_kV,cubiculo,interruptor,objeto_disparado,objeto_clase,objeto_for_name,es_malla,n_cargas_aguas_abajo,MW_deslastrados,Mvar_deslastrados,n_gens_aguas_abajo,MW_gen_desconectados
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 1 F<,59.29999923706055,0.0,0.10000000149011612,1,,0,0,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 2 F<,59.20000076293945,0.0,0.10000000149011612,0,,0,1,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 3 F<,59.099998474121094,0.0,0.10000000149011612,1,,0,0,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 4 F<,59.0,0.0,0.10000000149011612,1,,0,0,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 5 F<,58.900001525878906,0.0,0.10000000149011612,1,,0,0,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,MONTE PLATA,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\ZMPLAF.ElmSubstat\WMPLAF(6).ElmTerm\WBMPLAE(1).StaCubic\MONTE PLATA.ElmRelay,,EDE 6 F<,58.79999923706055,0.0,0.10000000149011612,1,,0,0,WMPLAF(6),,69.0,WBMPLAE(1),,Demanda 1 Monte Plata,ElmLod,ZMPLAF-D1,0,1,14.48,5.37,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 1 F<,59.29999923706055,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 2 F<,59.20000076293945,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 3 F<,59.099998474121094,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 4 F<,59.0,0.0,0.10000000149011612,0,,0,1,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 5 F<,58.900001525878906,0.0,0.10000000149011612,0,,0,1,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO.ElmRelay,,EDE 6 F<,58.79999923706055,0.0,0.10000000149011612,0,,0,1,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 0 F<,58.70000076293945,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 0 Start-dF/dt,59.29999923706055,0.0,0.10000000149011612,0,,0,1,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 0 dF/dt,59.099998474121094,-2.0,0.10000000149011612,0,,0,1,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 1 F<,58.70000076293945,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 1 Start-dF/dt,59.29999923706055,0.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 1 dF/dt,58.79999923706055,-2.0,0.10000000149011612,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 2 F<,59.20000076293945,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 2 Start-dF/dt,59.20000076293945,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 2 dF/dt,0.0,-2.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 3 F<,59.099998474121094,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 3 Start-dF/dt,59.099998474121094,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 3 dF/dt,0.0,-2.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 4 F<,59.0,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
,DESPACHO dF/dt,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\ZDESPF.ElmSubstat\WDESPF(2).ElmTerm\WBDESPF(2).StaCubic\DESPACHO dF/dt.ElmRelay,,EDE 4 Start-dF/dt,59.0,0.0,0.0,1,,0,0,WDESPF(2),,69.0,WBDESPF(2),,Demanda 1 Despacho,ElmLod,ZDESPF-D1,0,1,4.14,1.35,0,0
