for_name,loc_name,ruta,clase,tap_actual,outserv,tap_hv,tap_mv,tap_lv
WMPSOF_WMPSOK-T1,69/20 kV Transformador Monte Plata Solar,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\69/20 kV Transformador Monte Plata Solar.ElmTr2,ElmTr2,0,0,,,
WGPALF_WPAL3K-T1,69/13.8 kV Transformador Palamara Grupo3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo3.ElmTr2,ElmTr2,0,0,,,
WGPALF_WPAL2K-T1,69/13.8 kV Transformador Palamara Grupo2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo2.ElmTr2,ElmTr2,0,0,,,
WGPALF_WPAL1K-T1,69/13.8 kV Transformador Palamara Grupo1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Diésel Palamara.ElmSite\69/13.8 kV Transformador Palamara Grupo1.ElmTr2,ElmTr2,0,0,,,
WINCAF-WINCAK-T2,69/12.5 kV INCA km 22 T2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\INCA km 22.ElmSite\69/12.5 kV INCA km 22 T2.ElmTr2,ElmTr2,-1,0,,,
WEMA3F_WEMB3K-T1,66/13.8 kV Transformador EDM3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\EDM 3.ElmSite\66/13.8 kV Transformador EDM3.ElmTr2,ElmTr2,0,0,,,
WMPALF_WMPALK-T1,69/34.5 kV Transformador Mata de Palma,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Mata de Palma.ElmSite\69/34.5 kV Transformador Mata de Palma.ElmTr2,ElmTr2,8,0,,,
WMARTF_WMARTK-T1,69/34.5 kV Transformador Martí,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\69/34.5 kV Transformador Martí.ElmTr2,ElmTr2,3,0,,,
WHNS1F_WMARAK-T1,69/13.8 kV Transformador Maranatha,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\69/13.8 kV Transformador Maranatha.ElmTr2,ElmTr2,0,0,,,
WINCAF-WINCAK-T1,69/12.5 kV INCA km 22 T1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69/12.5 kV INCA km 22 T1.ElmTr2,ElmTr2,0,0,,,
WJSAUD_WJSAUE-T1,345/138 kV Transformador 1 Julio Sauri,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\ZJSAUD.ElmSubstat\345/138 kV Transformador 1 Julio Sauri.ElmTr2,ElmTr2,12,0,,,
WJSAUD_WJSAUE-T2,345/138 kV Transformador 2 Julio Sauri,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345/138 kV Transformador 2 Julio Sauri.ElmTr2,ElmTr2,12,0,,,
WNARAD_WNARAE-T2,345/138 kV Transformador 2 El Naranjo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\ZNARAD.ElmSubstat\345/138 kV Transformador 2 El Naranjo.ElmTr2,ElmTr2,7,0,,,
WNARAD_WNARAE-T1,345/138 kV Transformador 1 El Naranjo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\El Naranjo.ElmSite\345/138 kV Transformador 1 El Naranjo.ElmTr2,ElmTr2,7,0,,,
WQU11D_WQU21K-T1,230/13.8 kV Transformador Quisqueya 2 G1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G1.ElmTr2,ElmTr2,0,0,,,
WQU11D_WQU22K-T2,230/13.8 kV Transformador Quisqueya 2 G2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G2.ElmTr2,ElmTr2,0,0,,,
WQU11D_WQU23K-T3,230/13.8 kV Transformador Quisqueya 2 G3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 2 G3.ElmTr2,ElmTr2,0,0,,,
WQUISD_WQ1SPK-T1,230/13.8 kV Transformador Q1 San Pedro,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Q1 San Pedro.ElmTr2,ElmTr2,0,0,,,
WQU21D_WQU12K-T2,230/13.8 kV Transformador Quisqueya 1 G2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G2.ElmTr2,ElmTr2,0,0,,,
WQU21D_WQU13K-T3,230/13.8 kV Transformador Quisqueya 1 G3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Quisqueya.ElmSite\230/13.8 kV Transformador Quisqueya 1 G3.ElmTr2,ElmTr2,0,0,,,
WPVDCD_WPVD1K-T1,230/34.5 kV Transformador 1 PVDC,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 1 PVDC.ElmTr2,ElmTr2,0,0,,,
WPVDCD_WPVD2K-T1,230/34.5 kV Transformador 2 PVDC,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\230/34.5 kV Transformador 2 PVDC.ElmTr2,ElmTr2,0,0,,,
WPCA2D_WPCA1K-T1,345/22 kV Transformador Punta Catalina 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\345/22 kV Transformador Punta Catalina 1.ElmTr2,ElmTr2,3,0,,,
WPCA2D_WPCA2K-T1,345/22 kV Transformador Punta Catalina 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Punta Catalina.ElmSite\345/22 kV Transformador Punta Catalina 2.ElmTr2,ElmTr2,3,0,,,
WBON3D_WBON3C-T1,345/230 kV Transformador 2 Bonao 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Bonao 3.ElmSite\345/230 kV Transformador 2 Bonao 3.ElmTr2,ElmTr2,22,0,,,
