dsl_ruta,model_name,tabla,fila,columna,valor
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,0,0,0.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,0,1,0.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,1,0,0.3
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,1,1,0.76
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,2,0,0.31
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,2,1,0.86
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,3,0,0.4
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,3,1,0.94
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,4,0,0.5
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,4,1,1.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,5,0,1.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,wp:IntMat,5,1,1.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,0,0,0.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,0,1,0.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,1,0,0.1
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,1,1,0.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,2,0,0.15
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,2,1,1.0
\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,ipmaxuWT:IntMat,3,0,0.9
