planta,dsl,dsl_ruta,modelo,array,origen,fila,columna,valor
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,0,0,0.0
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,0,1,0.76
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,1,0,0.3
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,1,1,0.76
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,2,0,0.31
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,2,1,0.86
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,3,0,0.4
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,3,1,0.94
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,4,0,0.5
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,4,1,1.0
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,5,0,1.0
Planta_Guanillo,P control model type 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\P control model type 3.ElmDsl,P control model type 3,oarray_wp,IntMat:wp,5,1,1.0
Planta_Guanillo,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,0,0,0.0
Planta_Guanillo,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,0,1,0.1
Planta_Guanillo,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,1,0,0.2
Planta_Guanillo,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,1,1,0.95
Planta_Guanillo,Current limitation model,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Guanillo.ElmSite\Planta_Guanillo.ElmComp\Current limitation model.ElmDsl,Current limitation model,oarray_iqmaxuWT,IntMat:iqmaxuWT,2,0,0.2
