planta,dsl,dsl_ruta,modelo,array,origen,n_valores,modelo_encriptado,legible
Planta_Monte Plata Solar,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_PFP,param,0,1,0
Planta_Monte Plata Solar,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_QU,param,0,1,0
Planta_Monte Plata Solar,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Protection.ElmDsl,Protection,array_LVRT,param,0,1,0
Planta_Monte Plata Solar,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Planta_Monte Plata Solar.ElmComp\Protection.ElmDsl,Protection,array_HVRT,param,0,1,0
Planta_PF Martí,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_PFP,param,0,1,0
Planta_PF Martí,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_QU,param,0,1,0
Planta_PF Martí,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Protection.ElmDsl,Protection,array_LVRT,param,0,1,0
Planta_PF Martí,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Martí.ElmSite\Planta_PF Martí.ElmComp\Protection.ElmDsl,Protection,array_HVRT,param,0,1,0
Plant_PF Maranatha,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_PFP,param,0,1,0
Plant_PF Maranatha,Q_Control,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Q_Control.ElmDsl,ReactPow_Control,array_QU,param,0,1,0
Plant_PF Maranatha,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Protection.ElmDsl,Protection,array_LVRT,param,0,1,0
Plant_PF Maranatha,Protection,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\Maranatha.ElmSite\Plant_PF Maranatha.ElmComp\Protection.ElmDsl,Protection,array_HVRT,param,0,1,0
Planta_El Soco,PV_CTRL,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Planta_El Soco.ElmComp\PV_CTRL.ElmDsl,E_PV_CTRL,array_U2Id2,param,0,1,0
Planta_El Soco,PV_CTRL,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\El Soco.ElmSite\Planta_El Soco.ElmComp\PV_CTRL.ElmDsl,E_PV_CTRL,array_UId,param,0,1,0
