escenario,for_name,loc_name,shtype,ncapa,ncapx,qcapn_Mvar_paso,outserv
P01,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P01,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P01,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P01,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P01,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P01,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P01,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P01,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P01,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P01,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P01,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P01,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P01,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P01,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P01,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P01,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P01,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P01,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P01,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P01,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P01,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
P01,ZAHONF-C1,69 kV Capacitor Arroyo Hondo,2,1,1,20.0,0
P01,ZHNVAF-C1,69 kV Capacitor Herrera Nueva,2,1,1,20.0,0
P01,ZHNS1F-C1,69 kV Capacitor Hainamosa,2,1,1,40.0,0
P01,ZPIMEF-C1,69 kV Capacitor Pimentel,2,1,1,9.739999771118164,0
P01,ZABANF-C1,69 kV Capacitor Abanico Per,2,1,1,10.0,0
P01,ZPAYIF-C1,69 kV Capacitor Payita,2,1,1,10.0,0
P01,ZCONSF-C1,69 kV Capacitor Constanza,2,1,1,11.420000076293945,0
P01,WSOSDF-C1,69 kV Sosúa 2 C1,2,1,1,20.0,0
P01,WLVPEF-C1,69 kV La Vega PER C1,2,1,1,20.0,0
P02,ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,2,1,1,15.600000381469727,0
P02,ZHIGUF-C1,69 kV Capacitor Higüey,2,1,1,17.0,0
P02,ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),2,1,1,20.0,0
P02,ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,2,1,3,10.0,0
P02,ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,2,1,3,10.0,0
P02,ZSPMAF-C1,69 kV Capacitor SPM,2,1,1,20.0,0
P02,ZZSANF-C2,69 kV Capacitor 2 ZF Santiago,2,1,1,20.0,0
P02,ZZSANF-C1,69 kV Capacitor 1 ZF Santiago,2,1,1,9.600000381469727,0
P02,ZCANBF-C2,69 kV Capacitor 2 Canabacoa,2,1,1,20.0,0
P02,ZCANBF-C1,69 kV Capacitor 1 Canabacoa,2,1,1,15.600000381469727,0
P02,ZPPL2F-C1,69 kV Capacitor Puerto Plata 2,2,1,1,40.0,0
P02,ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,4,1,1,21.88921356201172,1
P02,ZFALCK-C2,34.5 kV Capacitor 2 FALCONDO,4,1,1,14.364055633544922,1
P02,ZACLAK-C1,34.5 kV Capacitor Agua Clara,2,1,6,1.0,1
P02,WGNLLK-SF,34.5 kV Capacitor Guanillo,2,8,8,0.9599999189376831,0
P02,ZCOCOF-C1,69 kV Capacitor Cruce de Ocoa,2,1,1,20.0,0
P02,WDUVEF-C1,69 kV Duvergé C1,2,1,1,11.399999618530273,0
P02,ZHAIBF-C1,69 kV Capacitor Haina,2,1,1,40.0,0
P02,ZMTFNK-C1,34.5 kV Capacitor 1 Matafongo,2,1,1,5.0,1
P02,ZMTFNK-C2,34.5 kV Capacitor 2 Matafongo,2,1,1,10.0,1
P02,ZGIRAK-C1,34.5 kV Capacitor Girasol,2,1,3,10.0,0
