escenario,demanda_P_MW,demanda_Q_Mvar,generacion_P_MW,Q_shunts_nominal_Mvar
P01,3382.29,989.31,3459.29,448.04
P02,3279.87,972.06,3380.74,448.04
P03,3219.02,956.67,3320.89,448.04
P04,3147.69,935.47,3245.85,448.04
P05,3080.44,910.2,3178.15,448.04
P06,3032.39,888.94,3122.89,448.04
P07,2954.74,852.46,3040.78,448.04
P08,2894.8,852.07,2981.88,448.04
P09,3047.17,927.58,3151.38,448.04
P10,3081.78,917.53,3195.64,448.04
P11,3072.07,911.06,3191.16,448.04
P12,3088.62,919.82,3195.52,448.04
P13,3078.31,924.39,3180.98,448.04
P14,3081.8,933.12,3185.15,448.04
P15,3195.08,966.55,3309.2,448.04
P16,3295.61,981.14,3403.27,448.04
P17,3419.78,1026.22,3524.07,448.04
P18,3450.67,1015.83,3536.08,448.04
P19,3507.83,1044.98,3579.33,448.04
P20,3624.26,1043.66,3625.52,448.04
P21,3644.18,1025.58,3649.21,448.04
P22,3655.24,1015.26,3667.71,448.04
P23,3645.12,1008.31,3668.88,448.04
P24,3592.19,1023.0,3622.14,448.04
