carga,P_inicial_MW,t_disparo_s,P_final_MW
Demanda 1 Monte Plata,14.48,,14.278
Demanda 1 Despacho,4.14,,4.119
Demanda 1 Capotillo,11.78,,11.719
Demanda 2 Invivienda,29.589,,29.177
Demanda 1 Invivienda,30.339,,30.135
Demanda 2 Kilómetro 10.5,33.839,,33.245
Demanda 1 Kilómetro 10.5,25.509,,22.4
Demanda 3 Kilómetro 10.5,24.469,,24.04
Demanda La Cuarenta,19.76,,19.659
Demanda PVDC,184.991,,175.411
Demanda La Romana,15.22,,11.908
Demanda SPM,37.36,,23.636
Demanda 1 Higüey 138 kV,12.13,,10.591
Demanda Juan Dolio,8.75,,8.712
Demanda 1 ZF Santiago,31.138,,22.434
Demanda Canabacoa,32.637,,21.914
Demanda Dajabón,12.579,,12.616
Demanda Valverde Mao,22.419,,22.485
Demanda 1 La Gallera,26.348,,26.376
Demanda Moca,25.776,,25.81
Demanda San Juan,21.47,,11.707
Demanda 1 Madre Vieja,35.539,,34.804
Demanda Barahona Pueblo,27.21,,20.677
Demanda 2 Arroyo Hondo,21.97,,21.584
Demanda Herrera Nueva,17.32,,17.034
Demanda Boca Chica,39.919,,39.679
Demanda 1 Embajador,35.709,,29.313
Demanda 1 Hainamosa,24.669,,24.326
Demanda Villa Duarte,26.029,,14.397
Demanda 2 Matadero,10.44,,10.279
Demanda Timbeque 2,23.23,,22.898
Demanda 1 Los Mina,0.0,,0.0
Demanda 1 Los Prados,50.529,,49.722
Demanda 1 UASD,21.38,,6.231
Demanda 1 El Brisal,46.369,,45.719
Demanda 1 Villa Mella,20.26,,19.915
Demanda 1 El Chivo,26.607,,26.601
Demanda Bonao PER,19.709,,19.605
Demanda Puerto Plata,24.078,,12.352
Demanda La Vega,21.259,,21.276
