for_name,loc_name,ruta,barra_for_name,barra_loc_name,barra_kV,shtype,ctech,ncapa,ncapx,qcapn_Mvar_paso,qtotn_Mvar,Q_nominal_en_servicio_Mvar,Q_actual_Mvar,ushnm_kV,iswitch,nodo_control,outserv
ZHIGUF-C1,69 kV Capacitor Higüey,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor Higüey.ElmShnt,,1(3),69.0,2,1,1,1,17.0,17.0,17.0,-13.822318622396264,69.0,0,69 kV Higüey,0
ZLRMAF-C1,69 kV Capacitor La Romana Pueblo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\69 kV Capacitor La Romana Pueblo.ElmShnt,WXCLRF,Tap Capacitor 69 kV La Romana Pueblo,69.0,2,1,1,1,15.600000381469727,15.600000381469727,15.6,-14.415868844500146,69.0,0,,0
ZSRAFF-C1,69 kV Capacitor Madre Vieja(San Rafael),\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 69 kV.ElmNet\69 kV Capacitor Madre Vieja(San Rafael).ElmShnt,WSRAFF,69 kV San Rafael(1),69.0,2,1,1,1,20.0,20.0,20.0,-18.73204652625646,69.0,0,69 kV San Rafael(1),0
ZPVD1K-C1,34.5 kV Capacitor 1 PVDC,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 1 PVDC.ElmShnt,WPVD1K,Terminal PVDC 1,34.5,2,1,1,3,10.0,10.0,10.0,-10.229393213716552,34.5,1,Terminal PVDC 1,0
ZPVD2K-C1,34.5 kV Capacitor 2 PVDC,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\PVDC.ElmSite\34.5 kV Capacitor 2 PVDC.ElmShnt,WPVD2K,Terminal PVDC 2,34.5,2,1,1,3,10.0,10.0,10.0,-10.229393213716552,34.5,1,Terminal PVDC 2,0
ZSPMAF-C1,69 kV Capacitor SPM,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\San Pedro.ElmSite\69 kV Capacitor SPM.ElmShnt,,3,69.0,2,1,1,1,20.0,20.0,20.0,-20.854871284665435,69.0,0,69 kV SPM BP,0
ZACLAK-C1,34.5 kV Capacitor Agua Clara,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Agua Clara.ElmSite\34.5 kV Capacitor Agua Clara.ElmShnt,WACLAK,Terminal Agua Clara,34.5,2,1,1,6,1.0,1.0,1.0,,34.5,0,Terminal Agua Clara,1
ZCANBF-C1,69 kV Capacitor 1 Canabacoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 1 Canabacoa.ElmShnt,,R1,69.0,2,1,1,1,15.600000381469727,15.600000381469727,15.6,-16.304062092678077,69.0,0,69 kV Canabacoa BP Sec A,0
ZCANBF-C2,69 kV Capacitor 2 Canabacoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\69 kV Capacitor 2 Canabacoa.ElmShnt,,L1,69.0,2,1,1,1,20.0,20.0,20.0,-20.90263909850345,69.0,0,69 kV Canabacoa BP Sec A,0
ZFALCK-C1,34.5 kV Capacitor 1 FALCONDO,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Falcondo.ElmSite\34.5 kV Capacitor 1 FALCONDO.ElmShnt,,R3,34.5,4,1,1,1,21.88921356201172,24.95107650756836,21.8892,,34.5,0,34.5 kV FALCONDO Sec A,1
