for_name,loc_name,ruta,nudo_piloto_loc_name,nudo_piloto_for_name,nudo_piloto_kV,usetp_pu,qsetp_Mvar,i_ctrl,imode,uset_mode,i_droop,ddroop,n_maquinas,maquinas_for_name,outserv
SC_PBLAE,230 kV Nodo Piloto Bonao 3,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Bonao 3.ElmSite\230 kV Nodo Piloto Bonao 3.ElmStactrl,Tap 230 kV Bonao 3 D02,WXBO2D,230.0,0.9742999076843262,0.0,0,1,0,0,0.0,7,G4QUIS21;G4QUIS22;G4QUIS23;G5QUISQ2;G4QUIS13;G4QUIS12;G5QUISQ1,0
SC_JSAUD,345 kV Nodo Piloto Julio Sauri,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\Expansión 345 kV.ElmNet\Julio Sauri.ElmSite\345 kV Nodo Piloto Julio Sauri.ElmStactrl,345 kV Julio Sauri B1 Sec A,WJSA1D,345.0,1.0,0.0,0,1,0,0,0.0,2,G3PCATA1;G3PCATA2,0
SC_SPM2E,138 kV Nodo SPM 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\SPM 2.ElmSite\138 kV Nodo SPM 2.ElmStactrl,138 kV SPM 2 B2 Sec A,WSP2CE,138.0,1.0,0.0,0,1,0,0,0.0,8,G4SESTE1;G3CESPM3;G3CESPM2;G3CESPM1;G4LOPPL1;G4LOPPL2;G3BERSAL;G3SPBIOE,0
,138 kV Nodo Piloto San Pedro de Ma(1),\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 138 kV.ElmNet\138 kV Nodo Piloto San Pedro de Ma(1).ElmStactrl,,,,1.0,0.0,0,1,0,0,0.0,0,,0
SC_CANAE,138 kV Nodo Piloto Canabacoa,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Canabacoa.ElmSite\138 kV Nodo Piloto Canabacoa.ElmStactrl,138 kV Canabacoa BP Sec A,WCAN1E,138.0,0.995199978351593,0.0,0,1,0,0,0.0,3,G3TAVER1;G3LANGOS;G3TAVER2,0
SC_MONCE,138 kV Nodo Piloto Monción,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Monción.ElmSite\138 kV Nodo Piloto Monción.ElmStactrl,138 kV Monción,WMONCE,138.0,1.0,0.0,0,1,0,0,0.0,2,G3MONCI2;G3MONCI1,0
SC_PIMEE,138 kV Nodo Piloto Pimentel,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\NORTE 138 kV.ElmNet\Pimentel.ElmSite\138 kV Nodo Piloto Pimentel.ElmStactrl,138 kV SFM BP,WSFM1E,138.0,0.9800000190734863,0.0,0,1,0,0,0.0,4,G3PIMEN3;G3PIMEN2;G3PIMEN1;G3PIMEN4,0
SC_CC2E,138 kV Nodo Piloto Cruce Cabral 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Cruce de Cabral 2.ElmSite\138 kV Nodo Piloto Cruce Cabral 2.ElmStactrl,138 kV Cruce de Cabral 2 B1,WCC21E,138.0,1.0,0.0,0,1,0,0,0.0,1,G3BCARBO,0
SC_ITABE,138 kV Nodo Piloto Itabo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Itabo.ElmSite\138 kV Nodo Piloto Itabo.ElmStactrl,138 kV Itabo B1,WITA1E,138.0,0.9879999756813049,0.0,0,1,0,0,0.0,3,G3HTG;G3ITABO2;G3ITABO1,0
SC_PIZAE,138 kV Nodo Piloto Valdesia,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\Valdesia.ElmSite\138 kV Nodo Piloto Valdesia.ElmStactrl,138 kV Valdesia Sec A,WVALDE,138.0,0.998399019241333,0.0,0,1,0,0,0.0,6,G3JIGUE2;G3JIGUE1;G3VALDE1;G3VALDE2;G3AGUAC2;G3AGUAC1,0
SC_KQAZE,138 kV Nodo Piloto Kilómetro 15 de Azua,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\SUR 138 kV.ElmNet\km 15 de Azua.ElmSite\138 kV Nodo Piloto Kilómetro 15 de Azua.ElmStactrl,138 kV Kilómetro 15 de Azua B1,WKQA1E,138.0,1.0029000043869019,0.0,0,1,0,0,0.0,12,G4MRIO3;G3PFLNEG;G4MRIO1;G3MAGUE1;G3MAGUE2;G3SYEGUA;G3PALOM2;G3PALOM1;G4PAK262;G4PAK261;G4PAK601;G5PAK6TV,0
SC_AANDE,138 kV Nodo Piloto AES Andrés,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\AES Andrés.ElmSite\138 kV Nodo Piloto AES Andrés.ElmStactrl,138 kV AES Andrés Interconexión,WIAANE,138.0,1.006600022315979,0.0,0,1,0,0,0.0,2,G5AANDRG;G5AANDRV,0
SC_BOCE,138 kV Nodo Piloto Boca Chica,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Boca Chica.ElmSite\138 kV Nodo Piloto Boca Chica.ElmStactrl,138 kV Boca Chica,WBCHIE,138.0,0.9399999976158142,0.0,0,1,0,0,0.0,6,G4SIBA1;G4SIBA2;G4SIBA3;G4SIBA4;G4SIBA5;G4SIBA6,0
SC_LMINE,138 kV Nodo Piloto Los Mina,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Los Mina 6.ElmSite\138 kV Nodo Piloto Los Mina.ElmStactrl,138 kV Los Mina B2 Sec B,WLM22E,138.0,1.0149999856948853,0.0,0,1,0,0,0.0,3,G3LMINA6;G3LMINA5;G3LMINA7,0
SC_TIM2F,69 kV Nodo Piloto Timbeque 2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\CENTRAL 138 kV.ElmNet\Timbeque 2.ElmSite\69 kV Nodo Piloto Timbeque 2.ElmStactrl,69 kV Timbeque 2 BP,WTI21F,69.0,0.9786890149116516,0.0,0,1,0,0,0.0,3,G5EMA3G1;G5EMA3G2;G5EMAR3V,0
