curva,curva_ruta,inputmod,punto,P,Qmin,Qmax
QUISQUEYA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim,0,0,0.0,-8.0,17.5
QUISQUEYA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim,0,1,5.0,-10.0,17.0
QUISQUEYA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim,0,2,10.0,-12.5,16.0
QUISQUEYA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim,0,3,15.0,-10.0,14.0
QUISQUEYA2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\QUISQUEYA2.IntQlim,0,4,20.0,-7.5,7.5
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,0,0.0,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,1,0.1,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,2,0.2,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,3,0.3,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,4,0.4,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,5,0.5,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,6,0.6,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,7,0.7,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,8,0.8,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,9,0.9,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,10,0.95,,
Q3QUISQ2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\Q3QUISQ2.IntQlim,1,11,1.0,,
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,0,0.0,-8.0,17.5
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,1,5.0,-10.0,17.0
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,2,10.0,-12.5,16.0
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,3,15.0,-10.0,14.0
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,4,17.0,-8.0,12.807
LOPP2,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\Operational Library.IntPrjfolder\Mvar Limits Curves.IntPrjfolder\LOPP2.IntQlim,0,5,20.0,-7.5,7.5
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,0,0.0,-11.0,12.727
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,1,1.493,-11.32,12.727
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,2,2.77,-11.845,12.71
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,3,7.663,-8.761,12.0
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,4,12.518,-6.936,9.389
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,5,13.295,-6.683,9.0
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,6,14.288,-6.397,8.5
Leistungsdiagramm,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Library.IntPrjfolder\User Defined Models.IntPrjfolder\KPS26\MAN18V51/60DF Gas mode\Library\Genset\Bibliothek\Operational Library\Mvar Limit Curves\Leistungsdiagramm.IntQlim,1,7,15.648,0.0,0.0
