escenario,comldf_err,barras,energizadas,V_min_pu,V_media_pu,V_max_pu,barras_69kV_mas,V_min_pu_69kV_mas,V_media_pu_69kV_mas,V_max_pu_69kV_mas
P01,0,5150,4668,0.889974,0.990919,1.122661,4087,0.90743,0.990066,1.040775
P02,0,5150,4668,0.897601,0.995567,1.108796,4087,0.920947,0.995123,1.045627
P03,0,5150,4668,0.895689,0.993619,1.118385,4087,0.910862,0.993951,1.041927
P04,0,5150,4668,0.892625,0.997364,1.109242,4087,0.932036,0.997241,1.044735
P05,0,5150,4668,0.889505,0.997452,1.123454,4087,0.926344,0.997571,1.045392
P06,0,5150,4668,0.882407,0.993066,1.112968,4087,0.921416,0.992751,1.042551
P07,0,5150,4668,0.88106,0.990442,1.113178,4087,0.924278,0.990618,1.048374
P08,0,5150,4668,0.895212,0.996337,1.111828,4087,0.937262,0.996855,1.050962
P09,0,5150,4668,0.89093,0.992199,1.117576,4087,0.945672,0.992598,1.041924
P10,0,5150,4667,0.880059,0.990887,1.114485,4086,0.936569,0.990659,1.048089
P11,0,5150,4667,0.892586,0.995736,1.123026,4086,0.953594,0.995375,1.04571
P12,0,5150,4667,0.892906,0.99319,1.12307,4086,0.949553,0.993372,1.04327
P13,0,5150,4668,0.900485,0.997592,1.134112,4087,0.951704,0.998075,1.04525
P14,0,5150,4668,0.884307,0.993581,1.121131,4087,0.948207,0.993376,1.043819
P15,0,5150,4668,0.889265,0.997299,1.121259,4087,0.940282,0.99737,1.048876
P16,0,5150,4668,0.859251,0.987441,1.129729,4087,0.925592,0.98705,1.043952
P17,0,5150,4668,0.890586,0.994799,1.114937,4087,0.921576,0.993929,1.062878
P18,0,5150,4668,0.892073,0.990518,1.097668,4087,0.936055,0.989646,1.055926
P19,0,5150,4668,0.890266,0.989064,1.097195,4087,0.930451,0.988494,1.044621
P20,0,5150,4668,0.885097,0.99119,1.113615,4087,0.901708,0.989768,1.047928
P21,0,5150,4668,0.892266,0.990445,1.121886,4087,0.892266,0.989668,1.047438
P22,0,5150,4668,0.888699,0.989337,1.104936,4087,0.888699,0.987984,1.046518
P23,0,5150,4668,0.891563,0.993177,1.13572,4087,0.891563,0.992952,1.049721
P24,0,5150,4668,0.889052,0.990447,1.118575,4087,0.8984,0.988884,1.045383
